TestName,UUID,baseline_FPS_RX_64B_0.00,baseline_FPS_RX_128B_0.00,baseline_FPS_RX_256B_0.00,baseline_FPS_RX_1500B_0.00,baseline_FPS_RX_64B_0.002,baseline_FPS_RX_128B_0.002,baseline_FPS_RX_256B_0.002,baseline_FPS_RX_1500B_0.002,baseline_FPS_RX_2000B_0.00,baseline_FPS_RX_9000B_0.00
Nightly_baseline_guest_pvp_tput,0001,21.8,,,1.644736,,,,,,
Nightly_baseline_host_phy2phy_tput,0036,21.8,,,1.644736,,,,,,
Nightly_baseline_testpmd_as_switch_pvp_tput,0071,21.8,,,1.644736,,,,,,
Gating_baseline_guest_pvp_tput,0042,21.8,,,1.644736,,,,,,
Gating_baseline_host_phy2phy_tput,0045,21.8,,,1.644736,,,,,,
Gating_baseline_testpmd_as_switch_pvp_tput,0072,21.8,,,1.644736,,,,,,
Weekly_baseline_guest_pvp_tput,0041,21.8,15.5,9,1.644736,,,,,,
Weekly_baseline_host_phy2phy_tput,0039,21.8,16,9,1.644736,,,,,,
Weekly_baseline_testpmd_as_switch_pvp_tput,0073,21.8,16,9,1.644736,,,,,,
Nightly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 1Q PMD 2C/4HT Rhel7.3,0008,8,,,1.6,,,,,,
Nightly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 2Q PMD 4C/8HT Rhel7.3,0002,16,,,1.6,,,,,,
Nightly VSPERF netqe23 PVP_CONT OVSDPDKVHOST 4Q PMD 8C/16HT Rhel7.3,0003,18,,,1.6,,,,,,
Nightly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 1Q PMD 2C/4HT Rhel7.3,0009,,,,,7.8,,,1.644,,
Nightly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 2Q PMD 4C/8HT Rhel7.3,0006,,,,,14,,,1.644,,
Nightly VSPERF netqe23 PVP_TPUT OVSDPDKVHOST 4Q PMD 8C/16HT Rhel7.3,0007,,,,,22,,,1.644,,
Gating VSPERF netqe23 PVP_CONT OVSDPDKVHOST 1Q 2PMD 1C/2HT Rhel7.3 VLAN,0020,4.8,,,1.644,,,,,,
Gating VSPERF netqe23 PVP_CONT OVSDPDKVHOST 1Q 4PMD 1C/2HT Rhel7.3 VLAN,0021,8,,,1.644,,,,,,
Gating VSPERF netqe23 PVP_CONT OVSDPDKVHOST 2Q 4PMD 2C/4HT Rhel7.3 VLAN,0022,9,,,1.6,,,,,,
